"Milk","Groc","Froz","Deli","Frsh","Clen"
6190,42395,4830,12419,4142,21706
5382,19311,9196,2666,10499,4811
5890,66268,8250,2792,13648,8372
5546,51260,5228,3971,3415,39110
7137,38004,5286,11904,4518,30019
9210,64000,5141,7465,3752,26761
7022,48077,8445,1767,11066,28696
10986,195486,5775,10345,20958,25771
5301,77919,8355,7631,17753,19520
7026,59789,8837,2774,5326,16283
7853,135283,6087,13588,6215,35260
13250,220907,5809,3704,17543,7627
7533,36634,8404,6080,13157,37794
9621,91786,10116,3338,11023,61417
11820,161907,6715,1835,20062,21393
11339,104215,10622,9256,10366,8055
9198,211755,8203,2320,16551,9760
4863,68869,9896,5604,16609,15551
4555,122533,5297,13671,1364,3143
5705,121334,4416,15603,2240,47786
12834,231706,5998,3891,20254,46615
11007,68933,9806,11837,8561,13582
12044,112976,4901,7487,17760,20411
8229,41301,9388,2135,9335,31912
4658,96208,10215,4622,10235,17894
5551,58634,8920,9382,17563,22027
7043,127764,4897,14370,1277,16439
12369,83499,5869,3382,16998,20620
5653,39658,4393,5334,4601,30469
5719,31909,10681,6290,9303,5931
11093,83688,9493,6177,16484,23165
11865,41622,9080,4475,15595,25907
7400,48329,5398,13856,11135,11069
5717,100908,9774,9068,8429,16656
12033,193981,6572,4971,20934,7501
12387,135841,9987,6842,11518,5460
7317,73127,5134,11568,2396,19200
7314,65418,8536,15544,12573,50673
5083,35161,9715,8614,8068,38040
13051,151952,5015,8336,16949,14188
10584,72512,10981,10003,14635,30371
7514,90809,9334,2459,11224,18120
12270,197893,5241,1497,20662,38940
5413,21047,8450,9708,10868,7280
5854,74782,4883,10273,6251,55814
9560,116194,7001,3162,19527,25086
5803,43169,6949,4439,15793,1390
5720,103408,8992,3779,6226,10822
12346,146846,10308,10557,15608,22958
5052,55505,4396,12763,5797,20021
7955,24843,5878,13428,453,16893
11025,52727,6872,5360,20800,5312
12647,145811,6258,3642,17958,43876
11165,95652,8811,3959,11627,16681
5176,87637,3773,13977,1622,5780
5164,70235,9320,11759,9780,5960
11105,34388,10543,6450,13804,5255
4421,43784,4524,2037,4213,18043
13158,111463,8790,3423,15625,1881
12419,100299,9656,6083,12713,16715
10569,63988,7304,5168,21050,20758
12185,88579,9534,5704,13717,30027
12267,56323,9547,8065,13214,9118
7969,106994,6505,13986,11329,14727
6892,73675,8051,7408,12831,46926
11823,163310,6024,6383,13023,11681
11865,75336,9885,4665,10330,11622
4848,46313,8122,5600,8138,34115
10954,81138,9998,942,11759,22284
8658,88353,5236,9976,3164,6412
5869,46717,8742,9735,13502,29620
5806,63871,5095,5613,2353,10777
6639,73898,9771,12433,8126,16375
6536,64767,8509,6192,14905,8503
6469,108466,10793,14197,11228,18946
12144,90507,7129,131,19125,9655
6906,44522,3506,11153,3564,9039
11176,40531,10775,4503,9623,6359
12433,134871,8035,8081,15672,38074
11143,80423,9208,3081,13452,26315
6631,62545,9921,1932,10485,17203
12889,119671,10247,4638,9606,6321
10503,73244,8767,7200,10196,18352
12096,108620,9033,4261,11502,16838
12398,85715,8578,9055,13647,13224
13781,102610,8746,2144,14602,29784
5955,109188,6586,2967,3387,25508
4555,67248,9147,4541,11540,24059
4666,77986,10416,4657,12344,34157
12298,132242,7601,1230,19425,9753
5051,94119,7851,10051,8269,25804
9778,159771,10118,7636,10869,9875
11844,64999,9208,9791,14627,35528
7361,62739,9410,3444,12267,11722
12133,121755,8994,7818,11074,9986
11218,80726,6521,8342,19332,6173
8555,69982,7923,8430,11774,11649
11710,14044,10280,6717,12775,19020
9100,222523,6800,4688,20718,41945
6811,52115,5787,13151,3478,54418
7832,87275,4631,10446,12155,23638
5932,62004,8846,16196,16111,9319
7325,33874,4506,12461,6557,17678
4338,113928,6130,4843,3105,49431
6873,37949,8051,7164,11595,6832
5806,112609,5548,12673,3250,10957
6664,74263,9007,9121,10328,60839
4553,81313,8055,6781,11611,19333
12871,194607,6791,6318,15503,38763
