id,group,hs.grad,nation,gender,age,m.status,political,n.child,income,housing,food,other,score,scr,time1,time2,time3,Pol
528,treat,yes,Europe,female,47,divorced,New_Democrat,3,47569.17535,0.11,0.07,0.82,-0.11,0.832883982,0.44,0.2,6.05,1.809550849
529,treat,yes,North America,male,61,married,Liberal,4,55772.94523,0.93,0,0.07,-0.64,1.519454511,0.06,-0.95,2.68,2.388787829
530,treat,yes,Europe,female,43,married,Conservative,3,31448.84416,0.53,0.11,0.36,-0.07,0.051069364,1,0.15,3.51,1.731269921
531,control,no,North America,male,20,divorced,Conservative,2,962.6049027,0.87,0.02,0.11,-0.17,0.904030183,0.98,-1.37,1.95,2.233734193
532,treat,yes,Asia,female,23,married,Liberal,1,41570.69799,0.57,0.34,0.09,0.13,0.896741937,0.87,-0.59,1.17,0.490604771
533,control,yes,North America,female,36,never,New_Democrat,1,45000,0.01,0.18,0.81,-2.82,0.412606322,0.15,5.4,2.29,-0.47113439
534,control,yes,Southern,male,32,married,Conservative,5,87499.52534,0.78,0.17,0.05,-0.21,1.215783738,0.46,0.68,2.04,1.129577934
535,control,no,Asia,male,64,never,Liberal,5,53000,0.42,0.39,0.19,0.77,1.144911426,0.27,-0.57,0.82,0.949713668
536,control,no,Asia,male,48,divorced,Other,3,14572.58933,0.82,0.02,0.16,-0.24,1.493039489,0.05,0.14,0.33,1.572891238
537,treat,no,North America,male,65,never,New_Democrat,2,7000,0.29,0.44,0.27,1.47,0.304741614,0.99,1.64,3.66,4.366077103
538,treat,yes,North America,male,37,married,Liberal,2,127791.745,0.7,0.27,0.03,0.61,1.469635248,0.56,1.03,2.66,2.21562198
539,treat,yes,Southern,female,25,divorced,Liberal,2,43571.35073,0.31,0.2,0.49,1.07,0.640150039,0.76,1.66,1.87,0.843703956
540,treat,no,Asia,male,30,married,Conservative,2,128969.2982,0.52,0.18,0.3,0.8,1.602981657,0.07,-3.54,2.51,4.486635768
541,control,yes,Southern,female,52,divorced,Conservative,7,52092.24337,0.5,0.29,0.21,-1.48,0.896678988,0.31,-1.94,4.9,0.044950203
542,control,yes,North America,male,52,divorced,Liberal,1,98682.98793,0.64,0.17,0.19,0.79,1.838597387,0.94,0.73,3.69,0.260076522
543,control,no,Southern,male,57,married,Conservative,0,137165.0927,0.88,0.1,0.02,0.18,1.364599966,0.42,-0.6,0.44,2.461527841
544,control,yes,North America,female,54,divorced,New_Democrat,2,47238.23285,0.55,0.19,0.26,-0.68,0.908847806,0.07,-1.8,1.42,0.119732554
545,treat,yes,Europe,male,32,married,Conservative,3,63191.89333,0.93,0.06,0.01,-1.89,1.484968306,0.33,-1.7,2.88,2.868115767
546,treat,yes,Asia,male,40,widowed,Conservative,1,40125.74699,0.58,0.16,0.26,-1.11,1.134706368,0.12,-2.59,0.51,3.047478611
547,control,yes,North America,male,30,divorced,Conservative,1,81581.03148,0.01,0.54,0.45,0.57,1.885168721,0.14,0.87,6.23,1.428448887
548,treat,yes,Southern,male,59,married,Conservative,0,30525.44305,0.16,0.51,0.33,0.53,0.983320953,0.95,3.07,5.91,3.758784862
549,control,yes,North America,female,38,married,New_Democrat,0,20449.6087,0.85,0.03,0.12,0.73,0.988211157,0.79,3.93,1.62,0.519225638
550,treat,no,Asia,male,19,divorced,New_Democrat,2,133248.3444,0.76,0.15,0.09,-0.8,0.843659196,0.98,-0.7,1.43,3.663108588
551,treat,no,North America,female,47,divorced,New_Democrat,0,8454.951548,0.78,0.16,0.06,-0.72,0.411846332,0.43,-1.06,1.7,2.799011019
552,control,no,North America,male,55,married,Conservative,0,123152.9409,0.36,0.58,0.06,2.96,2.234032544,0,0.88,3.44,2.845101912
553,control,no,North America,female,35,married,New_Democrat,2,12648.31266,0.91,0.06,0.03,-0.52,0.009002674,0.34,1.13,5.3,1.201316434
554,treat,yes,North America,female,29,divorced,New_Democrat,2,55977.95036,0.69,0.13,0.18,-1.32,1.540656947,0.01,-1.82,1.92,2.077832377
555,treat,yes,Southern,male,53,never,Liberal,0,92000,0.01,0.34,0.65,0.58,0.751323203,0.67,-0.28,1.77,1.836880546
556,control,yes,North America,female,41,divorced,Conservative,1,0,0.3,0.02,0.68,-0.56,0.470219183,0.03,1.08,3.7,0.142547568
557,control,yes,North America,female,62,never,Conservative,5,84000,0.07,0.37,0.56,-0.35,0.956523728,0.94,1.39,1.39,-0.195082097
558,treat,no,North America,female,64,never,New_Democrat,2,144000,0.74,0.06,0.2,0.11,1.030819997,0.8,-0.86,1.91,3.353891451
559,treat,yes,North America,male,41,divorced,Liberal,0,60264.90828,0.15,0,0.85,-1.12,0.082772862,0.26,-0.41,1.05,2.047789877
560,treat,yes,Europe,male,43,divorced,Conservative,0,136678.7972,0.96,0.03,0.01,-0.51,1.17478846,0.04,1.67,2,2.983477613
561,control,no,Southern,male,36,married,Other,2,28008.0051,0.07,0.76,0.17,0,0.584000956,0.01,1.79,1.55,0.680796132
562,control,yes,North America,male,59,never,New_Democrat,0,123000,0.65,0.23,0.12,-0.67,1.347174869,0,-1.11,1.05,1.744076265
563,treat,yes,North America,male,57,married,Liberal,3,112004.0993,0.59,0.21,0.2,1.34,1.674033281,0,0.28,2.89,2.283578895
564,treat,no,Europe,female,28,married,Other,1,112681.7984,0.99,0.01,0,0.26,1.864009567,0.72,-1.26,7.76,2.464122051
565,treat,yes,Europe,female,52,divorced,Other,4,57105.91199,0.23,0.56,0.21,0.97,0.597042944,0.66,-1.12,7.4,1.306588483
566,treat,no,Asia,female,62,divorced,Other,1,100352.514,0.11,0.3,0.59,-1.78,-0.02940775,0.61,-0.6,0.8,2.402485959
567,treat,no,Asia,female,41,married,Conservative,0,140122.5169,0.85,0.1,0.05,-1.04,1.258407917,0.72,1.44,2.44,3.26429173
568,treat,yes,Asia,male,44,never,Conservative,2,51000,0.43,0,0.57,-0.7,1.883344305,0.56,-0.07,4.15,3.024137778
569,control,no,North America,female,33,divorced,Conservative,1,63017.54659,0.93,0.04,0.03,2.2,1.27555309,0.91,1.47,1.03,1.411956506
570,control,no,Europe,female,20,married,New_Democrat,2,71534.11431,0.91,0.07,0.02,0.99,0.659567546,0.78,1.51,1.77,1.257039988
571,control,yes,Southern,male,61,married,Liberal,1,14926.12942,0.39,0.4,0.21,-0.79,0.967577766,0.25,0.57,0.82,-0.014128842
572,treat,yes,North America,male,27,divorced,Liberal,2,103144.6759,0.69,0.08,0.23,-1.14,0.941257057,0,-1.87,0.38,1.467613904
573,control,no,North America,male,33,never,New_Democrat,1,116000,0.87,0.06,0.07,0,2.029818615,0.93,-1.79,4.04,2.849578678
574,treat,no,North America,female,22,divorced,Conservative,6,111352.0845,0.74,0.12,0.14,0.16,0.150510796,0.15,0.13,0.69,3.052695392
575,control,yes,Asia,male,47,divorced,New_Democrat,0,0,0.25,0.33,0.42,1.87,1.255622736,0.01,2.19,1.91,1.200509131
576,control,yes,Southern,male,32,married,Conservative,1,114848.783,0.83,0.08,0.09,-0.44,2.167516578,0.56,-0.54,0.84,0.7490518
577,treat,no,North America,male,48,never,New_Democrat,3,108000,0.34,0.35,0.31,1.34,1.801774659,0,2.74,0.63,5.078217305
578,treat,no,Southern,male,22,married,New_Democrat,0,84405.47489,0.65,0.32,0.03,-1.36,1.250628393,0.12,1.5,3.91,4.157623769
579,control,yes,North America,male,62,never,Liberal,3,15000,0.24,0.18,0.58,-0.33,0.501622218,0.87,3.36,1,0.386232574
580,treat,yes,North America,female,31,never,Conservative,3,29000,0.51,0.49,0,1.33,1.40435354,0.49,1.66,3.29,2.077293127
581,treat,no,North America,male,37,married,Liberal,1,101720.6067,0.8,0.02,0.18,-0.87,1.839981516,0.1,0.87,0.34,3.173953764
582,treat,no,North America,male,61,married,Liberal,1,31131.06922,0.66,0.22,0.12,-0.02,0.2308408,0.86,2.05,2.74,2.804234521
583,treat,yes,Asia,male,28,widowed,Conservative,3,116639.1099,0.13,0.68,0.19,-2.11,1.209956534,0.06,-1.36,0.76,2.769653672
584,treat,yes,Asia,female,56,married,New_Democrat,0,154253.7068,0.03,0.3,0.67,-0.07,2.235873548,0.02,1.84,0.05,2.263966505
585,control,no,North America,female,54,married,Other,0,40700.72715,0.92,0.02,0.06,-0.68,0.252600624,0.02,-1.01,1.32,0.37400019
586,treat,no,Europe,female,18,married,Liberal,2,48697.02213,0.91,0.02,0.07,-0.08,0.966699489,0.08,-4.71,0.36,1.63583091
587,control,no,Asia,female,25,married,New_Democrat,2,91630.64093,0.71,0.11,0.18,0.82,0.775284864,0.76,-1.63,2.73,1.339013959
588,control,no,North America,male,60,divorced,Conservative,0,89961.90503,0.69,0.02,0.29,-1.23,1.444674996,0.6,-0.76,2.48,2.06624399
589,control,yes,Asia,female,38,divorced,New_Democrat,3,49.16323245,0.54,0.15,0.31,-0.56,0.776836262,0.35,-0.09,5.06,0.224674552
590,control,yes,Asia,male,63,married,Liberal,0,28627.89094,0.19,0.18,0.63,-1.06,0.651816425,0.14,-0.53,1.54,-0.301964414
591,treat,no,North America,male,30,married,Liberal,2,41802.66152,0.16,0.32,0.52,-0.9,0.143891446,0.22,3.15,1.09,2.846611692
592,control,yes,North America,female,36,married,New_Democrat,0,16813.32769,0.22,0.75,0.03,-2.03,0.829111748,0.05,-2.07,2.7,-0.275425799
593,treat,yes,North America,male,19,never,New_Democrat,2,143000,0.04,0.85,0.11,-0.34,1.544578627,0.21,-2.26,0.43,3.015377991
594,control,no,Asia,female,27,divorced,New_Democrat,2,14881.93998,0.45,0.22,0.33,-0.74,-0.595706968,0.28,2.9,1.46,1.077227234
595,control,yes,North America,male,22,divorced,Liberal,1,58408.41205,0.37,0.35,0.28,0.88,1.052387004,0.94,0.98,2.6,-0.651001586
596,treat,yes,North America,female,46,widowed,Conservative,1,72634.81066,0.25,0.4,0.35,1.33,1.26547847,0.12,-0.86,2.37,1.804491624
597,treat,yes,North America,male,40,divorced,Liberal,3,107061.6324,0.25,0.43,0.32,0.67,1.792652138,0.36,0.74,2.27,1.992263341
598,treat,no,Asia,male,34,married,Conservative,1,118028.9412,0.73,0.04,0.23,-1.69,1.338669148,0.82,2.16,2.55,4.225827595
599,control,yes,North America,male,56,divorced,New_Democrat,1,96135.36778,0.71,0.24,0.05,0.22,0.796882431,0.32,-0.94,1.76,1.455485596
600,treat,yes,Europe,female,65,married,Liberal,0,9460.447021,0.17,0.79,0.04,0.17,-0.102085216,0.01,-0.7,0.81,0.732008712
601,control,yes,Asia,male,42,divorced,Liberal,3,95160.35915,0.67,0.18,0.15,-0.29,1.62491643,0.52,0.56,1.78,-0.097310035
602,treat,no,North America,female,39,divorced,Liberal,1,53150.83581,0.4,0.02,0.58,-0.11,1.276394551,0.16,2.16,1.47,1.562495893
603,control,yes,North America,male,23,divorced,Conservative,4,104686.7231,0.07,0.06,0.87,-0.61,0.037190669,0.55,2.53,1,0.874738399
604,treat,no,Asia,female,44,married,New_Democrat,1,83424.67206,0.44,0,0.56,-0.61,0.676307142,0,0.83,4.33,2.803885929
605,treat,yes,Asia,female,35,married,Conservative,1,39001.77161,0.56,0.06,0.38,-0.35,1.348914912,0.79,1.07,3.66,1.716939434
606,control,yes,North America,male,49,married,Conservative,1,123851.3294,0.04,0.3,0.66,0.17,1.135204356,0.33,0.82,1.07,1.64198298
607,control,no,Southern,male,61,married,Conservative,3,12441.69447,0.24,0.42,0.34,-0.24,0.787999276,0.52,0.88,2.41,2.821626283
608,treat,no,Asia,female,26,married,New_Democrat,4,120340.1012,0.15,0.84,0.01,-0.55,1.518488405,0.08,-2.22,1.49,3.72505385
609,control,yes,North America,female,59,never,Conservative,1,43000,0,0.99,0.01,0.51,1.854052849,0.1,-0.49,4.48,0.430139035
610,treat,yes,Asia,female,56,never,Conservative,2,140000,0.69,0.02,0.29,1.74,3.238313262,0.51,-0.6,3.57,2.695740212
611,treat,yes,North America,female,52,divorced,Liberal,3,475.1343498,0.96,0.04,0,2.32,0.964422984,0.08,2.01,1.52,1.651674494
612,control,no,Asia,female,39,divorced,Other,3,98668.65141,0.05,0.7,0.25,-1.06,1.35313004,0.94,-0.38,1.15,0.035348487
613,treat,yes,Asia,female,39,widowed,New_Democrat,1,83285.71499,0.66,0.27,0.07,-0.3,1.45332051,0.89,-2.01,2.54,2.221952322
614,treat,yes,Asia,female,40,divorced,New_Democrat,1,30062.51621,0.33,0.65,0.02,-1.25,0.375020984,0.3,-2.48,0.81,1.587176956
615,treat,no,Asia,male,33,married,Other,2,57534.29115,0.49,0.51,0,0.44,0.748339756,0.15,-0.85,1.5,4.057152555
616,treat,yes,North America,male,36,married,Liberal,2,105139.415,0.37,0.18,0.45,1.69,1.360244625,0.27,3.02,0.57,1.900982321
617,control,yes,North America,female,25,married,Conservative,1,130129.196,0.19,0.53,0.28,0.68,1.738643938,0.83,0.13,3.39,0.218627893
618,treat,no,Asia,male,48,widowed,Liberal,1,37796.74512,0.6,0.33,0.07,-1.29,0.337775499,0.95,-2.67,0.98,2.731574777
619,treat,yes,North America,female,44,never,New_Democrat,0,1000,0.14,0.07,0.79,-0.93,0.711936095,0.45,-2.26,3.9,2.040563022
620,treat,no,Europe,male,40,divorced,New_Democrat,1,61536.42987,0.84,0,0.16,0.38,0.947265007,0.44,1.49,5.89,4.591690545
621,treat,yes,Europe,female,38,divorced,New_Democrat,2,126950.4782,0.87,0.07,0.06,0.27,1.147939047,0.91,-0.43,1.15,1.957171208
622,control,no,North America,male,61,widowed,New_Democrat,0,77901.89727,0.76,0.16,0.08,-1.52,1.303605821,0.73,1.27,0.88,2.242195694
623,treat,yes,Asia,female,65,divorced,Other,1,107535.7343,0.4,0.13,0.47,2.58,1.373720976,0.49,-1.09,1.65,2.044779098
624,control,yes,North America,male,29,never,Conservative,4,106000,0.2,0.53,0.27,0.81,2.010845258,0.87,4.44,2.08,0.650608736
625,control,yes,Asia,female,45,never,Liberal,1,150000,0.4,0.5,0.1,-1.82,1.322735205,0.9,3.18,2.4,-1.208042511
626,treat,no,North America,female,27,never,Conservative,1,79000,0.03,0.94,0.03,1.25,1.659378528,0,3.32,0.72,2.917479077
627,treat,no,Asia,male,50,divorced,New_Democrat,1,17611.20975,0.44,0.28,0.28,-0.29,-0.240336955,0.87,1.23,3.31,3.703694228
628,treat,no,Asia,female,34,married,New_Democrat,2,78249.58871,0.85,0.01,0.14,-0.42,0.625707368,0.23,0.8,4.95,2.775621876
629,treat,yes,North America,male,38,never,New_Democrat,2,18000,0.02,0.26,0.72,0.11,0.723858837,0.8,2.53,2.59,3.227246247
630,treat,no,North America,female,48,divorced,Conservative,1,138535.2195,0.93,0.01,0.06,-1.27,1.23199708,1,1.54,2.24,3.060539105
631,treat,no,Europe,male,21,married,Liberal,0,160096.312,0.71,0.16,0.13,0.59,0.984282532,0.04,-3,4.62,2.946499008
632,control,no,Southern,female,52,married,Liberal,2,89527.88326,0.25,0.57,0.18,0.09,0.778884218,0.48,-3.5,0.62,-0.152277905
633,control,no,North America,male,28,married,Liberal,1,82750.80814,0.7,0.15,0.15,0.39,1.240761815,0.01,-3.43,1.38,0.888528852
634,treat,yes,North America,female,21,divorced,Liberal,0,10953.90873,0.93,0.07,0,1.51,0.35401594,0,-1.04,2.09,0.753876339
635,treat,no,North America,male,59,divorced,Conservative,2,8511.94185,0.84,0.12,0.04,1.79,1.683381022,0.53,-0.53,7.36,4.67571523
636,control,no,North America,male,38,divorced,Liberal,0,17085.26489,0.61,0.07,0.32,0.33,0.387463145,0.01,1.32,1.21,1.173774585
637,control,yes,Asia,male,50,divorced,Conservative,1,130443.6096,0.6,0.37,0.03,-0.96,1.452385902,0.99,-0.21,5.12,1.664658538
638,control,no,Asia,female,65,divorced,Conservative,1,89595.51417,0.08,0.88,0.04,0.62,1.530386446,0.58,-3.74,2.04,0.977354497
639,control,yes,Europe,male,53,widowed,New_Democrat,0,149820.51,0.5,0.29,0.21,-0.49,-0.266561229,0.48,-0.75,3.37,0.885440075
640,control,yes,North America,male,63,divorced,New_Democrat,3,39955.78253,0.96,0.02,0.02,1.11,0.905070412,0.09,-3.26,0.97,1.121925256
641,treat,yes,North America,male,48,married,Liberal,0,44541.98706,0.02,0.09,0.89,1.06,0.923253729,0,-1.45,0.27,2.433165414
642,control,yes,North America,female,44,divorced,Liberal,1,130091.272,0.07,0.23,0.7,-0.26,1.331426322,0.22,-0.13,0.81,-0.89056631
643,control,no,North America,male,58,divorced,Other,3,25186.99917,0.18,0.36,0.46,-0.07,1.055771928,0.37,2.18,1.3,1.408270233
644,control,no,North America,female,25,married,Liberal,1,155932.9064,0.11,0.04,0.85,-0.34,2.092654395,0.87,2.23,2.58,-0.111019541
645,treat,no,North America,female,20,never,Liberal,1,1000,0.84,0.09,0.07,1.19,0.13299561,0.99,0.52,2.23,2.115222099
646,control,no,Southern,female,28,divorced,Conservative,1,6706.544669,0.41,0.44,0.15,-0.47,1.246976629,0.85,-0.75,1.51,1.014558775
647,treat,yes,Southern,male,30,divorced,New_Democrat,1,41438.04139,0.32,0.28,0.4,-0.84,0.546284438,0.24,0.42,1.74,3.152985797
648,control,yes,North America,male,58,married,New_Democrat,2,18656.24966,0.61,0.05,0.34,1.21,0.090310605,0.98,-1.02,1.49,1.753738272
649,control,yes,North America,female,19,married,Conservative,4,75714.5556,0.39,0.59,0.02,0.17,1.991077947,0.01,2.47,1.18,0.289657258
650,control,yes,North America,male,31,married,New_Democrat,0,155245.3593,0.72,0.1,0.18,-0.28,1.716653774,0.88,0.36,1.05,1.283795834
651,treat,yes,Europe,male,46,married,Conservative,0,149347.3965,0.52,0.28,0.2,-0.91,2.037105273,0.95,3.23,1.94,3.549736327
652,control,no,Asia,female,44,divorced,Conservative,1,123932.0223,0.23,0.56,0.21,0.26,0.641337142,0.34,-2.21,1.17,1.505136028
653,control,yes,Europe,male,46,married,Liberal,1,135378.5711,0.7,0,0.3,-0.04,1.092011479,0.53,-0.88,1.77,0.0176937
654,control,no,Asia,female,58,married,Conservative,1,62577.25693,0.36,0.24,0.4,1.99,1.395928825,0.85,-0.2,1.45,1.178732741
655,treat,no,Southern,female,54,married,Other,3,105727.7615,0.34,0.5,0.16,0.3,1.311230632,0.16,-0.24,0.71,2.609090693
656,treat,yes,North America,male,39,never,Conservative,2,150000,0.22,0.54,0.24,1.1,0.882425511,0.23,0.53,2.24,2.918604754
657,control,yes,North America,female,36,divorced,New_Democrat,5,114818.3852,0.55,0.4,0.05,1.03,1.606124486,0,0.23,1.8,-0.208798327
658,treat,yes,North America,male,31,divorced,Conservative,3,108798.99,0.66,0.26,0.08,0.5,0.951814194,0.45,-2.59,1.6,3.205104486
659,control,no,Europe,male,36,widowed,Conservative,0,72431.18587,0.9,0.04,0.06,0.94,0.460989581,0.32,-1.59,0.74,1.66418843
660,treat,no,North America,female,54,never,Conservative,1,25000,0.71,0.25,0.04,1.42,1.16293416,0.82,2.39,2.19,3.165578407
661,control,yes,Europe,male,35,widowed,Conservative,1,56540.73481,0.42,0.5,0.08,-1.33,0.302679997,0.05,0.6,0.79,0.908717956
662,treat,no,Europe,male,32,divorced,Conservative,1,77813.42464,0.17,0.21,0.62,1.08,0.261808147,0.95,0.09,3.7,4.139163629
663,control,no,Asia,female,50,married,New_Democrat,1,37196.41263,0.46,0.17,0.37,-0.99,1.231675938,0.39,-0.28,2.93,1.310903935
664,control,yes,Southern,female,58,married,Liberal,2,128143.2085,0.07,0.6,0.33,-0.39,1.11817557,0.06,2.35,3.36,-0.800695003
665,treat,yes,North America,female,46,married,Liberal,0,31883.27229,0.29,0.4,0.31,1,1.013118812,0.45,-5.23,1.36,0.785711093
666,treat,yes,North America,female,41,divorced,Liberal,2,106821.4032,0.59,0.03,0.38,-0.11,0.942887659,0.97,1.75,5.24,0.880875638
667,treat,yes,North America,male,63,divorced,Liberal,2,138180.6187,0.02,0.89,0.09,0.48,0.966733346,0.99,-2.05,3.73,2.32698919
668,control,no,North America,female,36,married,Conservative,3,61293.29121,0.45,0.15,0.4,0.11,1.266128132,0.54,0.36,1.54,0.746382395
669,control,yes,Europe,female,29,divorced,New_Democrat,2,40162.17489,0.7,0.03,0.27,-1.85,0.993782975,0.93,-1.52,4.92,-0.028670169
670,treat,yes,North America,male,40,married,Liberal,1,13055.5545,0.47,0.17,0.36,0.92,0.995478756,0.93,0.84,2.04,1.982474618
671,treat,no,Southern,male,30,divorced,New_Democrat,1,15383.75936,0.86,0.08,0.06,-0.82,1.064564098,0.82,-0.64,2.79,4.427105563
672,control,yes,Southern,male,38,widowed,Liberal,1,85445.18714,0.24,0.26,0.5,-0.2,1.977061051,0.11,0.9,8.05,-0.546415766
673,control,no,North America,male,32,married,Conservative,0,130205.8084,0.35,0.49,0.16,-2.16,0.919959594,0,-0.75,2.1,2.304023053
674,treat,yes,North America,female,26,married,New_Democrat,0,39426.58876,0.49,0.18,0.33,0.39,0.89418794,0.17,-2.02,1.37,2.535750105
675,treat,no,North America,male,54,married,Other,1,81155.11589,0.28,0.36,0.36,0,1.233200706,0.03,3.47,0.24,3.265281927
676,treat,no,Asia,male,38,divorced,New_Democrat,1,7468.051135,0.64,0.27,0.09,0.1,0.732664033,0.98,4.12,3.73,4.26311937
677,control,yes,North America,male,42,widowed,Conservative,1,102271.1917,0.95,0.03,0.02,0.28,0.901237597,0.08,1.9,0.14,1.095153174
678,control,yes,North America,female,34,divorced,Liberal,0,104353.099,0.06,0.78,0.16,0.17,1.220238514,0.77,2.87,1.57,-0.970294798
679,control,no,Southern,male,33,divorced,Liberal,2,47065.34976,0.81,0.11,0.08,1.95,0.335281258,0.27,1.75,4.58,0.978339908
680,treat,yes,North America,female,65,married,Liberal,1,59430.89021,0.53,0.01,0.46,1.66,1.740941691,0.95,1.11,0.95,1.459071942
681,control,yes,Asia,female,46,divorced,Liberal,2,106413.0785,0.11,0.63,0.26,-0.7,2.285278087,0.55,0.85,1.58,-1.520591626
682,control,yes,Asia,male,28,married,New_Democrat,3,107573.0832,0.44,0.42,0.14,-0.62,0.852732795,0.21,-0.26,2.53,1.131682154
683,treat,no,Asia,male,47,married,Liberal,2,136658.4067,0.39,0.47,0.14,0.5,2.475849917,0.98,-0.63,9.68,3.482405335
684,treat,yes,Southern,female,37,divorced,Conservative,1,40748.75944,0.66,0.05,0.29,0.02,-0.31484885,0.9,0.47,3.11,2.060623016
685,treat,yes,North America,male,39,divorced,Conservative,2,77544.55571,0.82,0,0.18,0.17,1.315267663,0.86,0.31,2,2.952717642
686,treat,no,Europe,female,60,married,Conservative,1,129073.0042,0.35,0.28,0.37,-0.03,1.401524105,0.29,-0.11,0.67,3.180840143
687,control,no,North America,female,64,divorced,New_Democrat,0,82883.89715,0.43,0.15,0.42,-0.1,0.512028995,0.41,0.81,7.71,1.415564176
688,treat,yes,Southern,female,26,divorced,New_Democrat,2,69192.0708,0.29,0.65,0.06,0.37,0.479613562,0.75,2.74,1.25,1.691805529
689,treat,no,North America,female,40,divorced,Liberal,1,134749.2944,0.56,0.35,0.09,-0.34,1.087976419,0,0.23,2.87,2.155732108
690,treat,yes,Southern,male,56,divorced,Conservative,1,53822.86686,0.78,0.12,0.1,1.07,0.670869108,0.03,0.18,3.31,3.177325358
691,treat,no,Asia,female,52,married,New_Democrat,5,146348.7593,0.58,0.09,0.33,-0.34,1.045706763,0.15,0.69,1.19,3.358147326
692,treat,no,North America,female,63,divorced,Other,1,40434.3737,0.79,0.05,0.16,0.71,1.560287865,0.06,1.97,0.2,2.317084703
693,treat,no,Europe,male,41,married,Liberal,1,50870.52747,0.02,0.67,0.31,-0.85,0.837848866,0.1,-1.01,4.37,3.084917223
694,control,no,North America,female,22,married,Conservative,1,56020.16881,0.61,0.08,0.31,0.18,0.613526241,0.07,1.96,7.64,1.092126443
695,control,yes,Europe,female,38,never,Liberal,3,51000,0.5,0.23,0.27,0.61,0.540800475,0.02,2.07,0.94,-0.882869877
696,treat,no,North America,female,62,widowed,New_Democrat,1,3138.451288,0.05,0.08,0.87,0.07,0.031692431,0.03,-0.03,0.79,3.312525729
697,control,no,Asia,male,30,never,Liberal,1,51000,0.93,0,0.07,0.23,1.371467965,0.39,2.28,5.13,1.514402661
698,control,no,North America,male,38,divorced,Other,2,119686.43,0.49,0.25,0.26,-0.4,1.710194189,0.56,1.02,0.95,1.606858598
699,treat,no,Southern,male,40,married,New_Democrat,2,128566.808,0.21,0.62,0.17,0.98,1.478221663,0.21,-2.02,0.82,4.661831256
700,control,no,Europe,male,37,never,Conservative,0,5000,0.9,0.04,0.06,-0.58,0.415332992,0.01,-1.46,3.44,2.645595433
701,control,yes,Asia,male,51,married,New_Democrat,1,50648.54223,0.99,0.01,0,-0.97,0.239228681,0.05,0.7,1.2,0.994282834
702,control,yes,North America,male,56,married,Conservative,1,12433.50974,0.8,0.03,0.17,-1.17,0.658605522,0.1,0.44,4.45,1.419067214
703,treat,no,North America,female,51,never,Liberal,1,23000,0.6,0.07,0.33,0.24,1.12084423,0.11,1.97,1.12,2.001649398
704,treat,yes,Southern,female,56,divorced,Conservative,2,13949.96094,0.3,0.33,0.37,1.6,0.735453579,0.5,1.19,0.83,2.256067486
705,control,no,North America,female,44,married,Conservative,0,107538.8149,0.43,0.25,0.32,-0.9,0.813950811,0,-2.06,0.11,1.198139696
706,control,no,Southern,female,36,divorced,Conservative,2,66353.03881,0.68,0.12,0.2,0.29,0.62632415,0.54,-2.18,1.71,0.926047712
707,control,yes,Southern,female,23,never,Liberal,2,47000,0.67,0.26,0.07,-1.25,0.532489129,0.68,2.16,0.79,-1.601351604
708,treat,yes,North America,female,28,divorced,Conservative,2,67050.85852,0.02,0.88,0.1,1.01,1.404869967,0.29,3.21,1.12,2.441750067
709,treat,yes,Southern,male,27,never,Liberal,0,74000,0.63,0.17,0.2,0.95,0.228752512,0.01,1.05,0.51,2.519509396
710,treat,no,Europe,male,46,divorced,Liberal,1,16557.59728,0.51,0.46,0.03,1.12,0.639616837,0.98,3.49,1.48,3.088768699
711,control,no,North America,male,42,divorced,New_Democrat,2,113192.6947,0.45,0.1,0.45,0.33,0.707061792,0,-1.51,1.07,2.055697682
712,control,no,North America,male,35,divorced,New_Democrat,2,106828.1703,0.02,0.98,0,-0.69,1.10378178,1,-1.45,1.62,2.533592945
713,treat,no,Southern,female,64,never,Liberal,3,37000,0.48,0.21,0.31,0.42,0.335575614,0.75,-0.7,0.82,1.738271679
714,treat,yes,North America,female,36,divorced,Conservative,0,47321.01403,0.07,0.19,0.74,-0.78,0.325835101,0.01,1.43,2.83,2.151013408
715,treat,yes,Europe,female,51,married,Other,2,107920.4294,0.19,0.78,0.03,1.13,1.774803982,0.73,0.41,1.12,1.541712072
716,control,no,Southern,male,37,married,Conservative,0,42991.00027,0.56,0.18,0.26,-1.23,0.302331425,0.01,-1.42,5.72,1.96815519
717,treat,no,Asia,male,47,married,New_Democrat,1,71532.15429,0.37,0.19,0.44,0.38,1.586934793,0.91,-2.19,3.03,3.883079408
718,control,yes,North America,female,23,married,Conservative,0,46940.53945,0,0.53,0.47,0.15,1.273654141,0.46,1.91,8.52,0.443165842
719,control,yes,Asia,male,62,widowed,New_Democrat,1,49843.50318,0.33,0.07,0.6,0.42,0.689414409,0.78,2.37,1.89,0.732196215
720,treat,yes,Europe,male,52,widowed,Liberal,3,115167.9135,0.36,0.6,0.04,1.25,1.701068875,0.14,1.05,1.6,2.643729372
721,control,no,North America,female,27,divorced,Conservative,0,60361.13691,0.62,0.19,0.19,0.16,0.427661794,0.75,5.12,2.56,1.025370405
722,treat,no,Europe,male,34,divorced,Liberal,1,6089.204568,0.7,0.3,0,-0.43,0.914032501,0.22,1.03,6.16,3.257412437
723,treat,yes,North America,female,22,never,New_Democrat,0,3000,0.14,0.78,0.08,-1.61,1.133865131,0,-2.13,3.77,1.735202434
