"RBC","HR","SR","WS","SF","Hol","Humid","RF","Temp","Seas"
1200,9,0.79,1.2,0,"No Holiday",63,0,-1.8,"Winter"
1278,13,2.23,3.7,0,"No Holiday",73,0,23.6,"Spring"
2156,7,0.07,0.2,0,"No Holiday",53,0,29.7,"Summer"
1368,17,1.17,0.7,0,"No Holiday",36,0,1.8,"Winter"
1538,22,0,1.4,0,"No Holiday",62,0,3.2,"Winter"
1298,14,2.8,0.8,0,"No Holiday",51,0,33.9,"Summer"
2629,23,0,2.2,0,"No Holiday",31,0,14.7,"Spring"
2657,18,0.39,0.3,0,"No Holiday",87,0,21.7,"Autumn"
2371,11,2.27,2.1,0,"No Holiday",56,0,27.7,"Summer"
2206,0,0,2.2,0,"No Holiday",47,0,24.1,"Spring"
1781,8,0,1,0,"No Holiday",79,0,11.5,"Spring"
2369,10,1.5,2.2,0,"No Holiday",38,0,12.8,"Autumn"
1984,9,1.17,2,0,"No Holiday",58,0,23.9,"Summer"
1551,4,0,1.3,0,"No Holiday",39,0,2.9,"Spring"
2366,22,0,2.7,0,"No Holiday",43,0,15.7,"Autumn"
1797,17,0.8,0.4,0,"No Holiday",39,0,-5.2,"Winter"
2140,22,0,2.5,0,"No Holiday",73,0,19.5,"Summer"
1643,5,0,1.6,0,"No Holiday",94,0,18.4,"Spring"
2571,20,0,1.8,0,"No Holiday",73,0,24.9,"Summer"
2186,13,3.45,2.8,0,"No Holiday",77,0,17.7,"Summer"
943,17,0.25,1.7,0,"No Holiday",87,0,4.1,"Winter"
2662,15,1.5,2.4,0,"No Holiday",32,0,28.3,"Summer"
1340,20,0,0.7,0.8,"Holiday",69,0,1.3,"Winter"
1779,15,0.39,0.8,0,"No Holiday",98,4,17.1,"Autumn"
1716,12,0.43,3.1,0,"No Holiday",19,0,-4.3,"Winter"
2061,7,0.21,4.1,0,"No Holiday",46,0,13.5,"Spring"
1463,15,2.75,2.2,0,"No Holiday",60,0,25.2,"Summer"
2366,9,0.69,1.3,0,"Holiday",52,0,32.5,"Summer"
1327,20,0,0.8,0,"No Holiday",56,0,-6.1,"Winter"
1965,8,0,1.9,0,"No Holiday",47,0,17.4,"Autumn"
1721,23,0,1.5,0,"No Holiday",51,0,-7.7,"Winter"
2078,22,0,3.9,0,"No Holiday",84,0,24.3,"Summer"
1189,8,0.1,1.3,0,"No Holiday",54,0,-11.4,"Winter"
1815,18,1.19,3.1,0,"No Holiday",56,0,-1.9,"Winter"
1342,0,0,0.9,0,"No Holiday",68,0,6,"Spring"
1497,9,1.17,0.8,0,"No Holiday",45,0,-2.6,"Winter"
1885,17,0.08,4.4,0,"No Holiday",26,0,-4.8,"Winter"
3016,13,3.36,0.8,0,"No Holiday",43,0,36,"Summer"
1497,5,0,1.3,0,"No Holiday",34,0,4.3,"Winter"
818,3,0,1.1,0.3,"No Holiday",44,0,-16.2,"Winter"
2148,5,0,2.8,0,"No Holiday",58,0,30.3,"Summer"
1478,2,0,0.6,0,"No Holiday",48,0,13.6,"Spring"
685,0,0,1.4,0,"No Holiday",70,0,0.5,"Winter"
2203,6,0.02,2.3,0,"No Holiday",56,0,25.7,"Summer"
1598,8,0.07,2.7,0,"No Holiday",32,0,-5.8,"Winter"
1555,22,0,1.1,0,"No Holiday",76,0,24.5,"Summer"
1867,9,0.03,0.9,0,"No Holiday",42,0,22,"Summer"
1977,7,0,1.8,0,"No Holiday",38,0,10.7,"Spring"
1848,8,0.83,0.6,0,"No Holiday",71,0,14,"Autumn"
1872,7,0.26,0.5,0,"No Holiday",60,0,25.1,"Summer"
760,3,0,1,0,"No Holiday",91,0,4.5,"Winter"
2155,12,2.21,1.9,0,"No Holiday",23,0,8,"Winter"
1853,18,0.14,1.4,0,"No Holiday",63,0,15.9,"Spring"
1158,6,0,1.4,0,"No Holiday",42,0,-8.9,"Winter"
1078,14,0.5,0.5,0,"No Holiday",75,0,3.9,"Winter"
1582,5,0,1,0,"No Holiday",85,0.5,12.1,"Autumn"
2311,6,0,1,0,"No Holiday",27,0,17.8,"Spring"
2077,16,0.37,3.1,0,"No Holiday",66,0,25.3,"Autumn"
1707,3,0,1.8,0,"Holiday",48,0,32.4,"Summer"
2226,22,0,2.3,0,"No Holiday",41,0,23.5,"Summer"
1545,3,0,2.8,0,"Holiday",49,0,31,"Summer"
2025,23,0,1.6,0,"No Holiday",47,0,5.6,"Spring"
1576,6,0,1.7,0,"No Holiday",81,0,25.2,"Summer"
1117,10,2.32,1.1,0,"No Holiday",76,0,5.9,"Winter"
1405,16,0.94,4.8,1.6,"No Holiday",57,0,-9,"Winter"
1570,5,0,1.4,0,"No Holiday",56,0,33.8,"Summer"
1513,12,1.05,1.7,0,"Holiday",44,0,5.2,"Winter"
1463,2,0,1.3,0,"No Holiday",72,0,11.4,"Autumn"
2531,1,0,2.8,0,"No Holiday",58,0,30.3,"Summer"
1295,6,0,1.4,0,"No Holiday",63,0,6.8,"Winter"
1454,1,0,3.9,0,"No Holiday",48,0,8.4,"Spring"
1945,19,0.36,1.4,0,"No Holiday",61,0,13.8,"Autumn"
1788,10,0.21,2,0,"No Holiday",60,0,29.2,"Summer"
2046,13,0.54,0.7,0,"No Holiday",26,0,7.6,"Spring"
1940,22,0,1.1,0,"No Holiday",51,0,0.5,"Autumn"
1604,3,0,0.6,0,"No Holiday",16,0,-1.4,"Winter"
1202,1,0,0.7,0,"No Holiday",53,0,3.2,"Winter"
2202,5,0,1.7,0,"No Holiday",42,0,12.9,"Autumn"
2316,13,1.85,1.5,0,"No Holiday",60,0,31.5,"Summer"
1104,15,2.25,0.9,2,"No Holiday",66,0,-7.6,"Winter"
2045,8,0.05,0.8,0,"No Holiday",30,0,10.1,"Spring"
1313,7,0,0.6,2.5,"No Holiday",49,0,-5.8,"Winter"
2362,11,1.42,1.9,0,"No Holiday",47,0,23.7,"Summer"
2613,15,1.34,1.7,0,"No Holiday",76,0,27,"Summer"
959,0,0,2,1.6,"No Holiday",49,0,-7.8,"Winter"
2084,16,0.07,0.9,0,"No Holiday",60,0,20.3,"Summer"
2302,19,0,0.8,0,"No Holiday",36,0,19.5,"Spring"
1239,5,0,2.5,0,"No Holiday",37,0,-2.4,"Winter"
1811,4,0,3.6,0,"No Holiday",59,0,20.6,"Autumn"
1845,17,0.21,3.3,0,"No Holiday",76,0,7.9,"Autumn"
1120,1,0,1.7,0,"No Holiday",56,0,5.2,"Winter"
2010,9,0.89,3.2,0,"No Holiday",41,0,34.1,"Summer"
1315,17,1.14,0.1,0,"No Holiday",82,0,6.6,"Autumn"
1217,5,0,0.7,0,"No Holiday",79,0,24.8,"Summer"
1961,7,0.02,0.9,0,"No Holiday",40,0,23.1,"Spring"
1444,14,0.93,1,0,"No Holiday",75,0,11.5,"Spring"
1163,13,2.12,2.3,0,"No Holiday",41,0,-0.3,"Winter"
2116,12,0.97,1.3,0,"No Holiday",80,0,21.2,"Autumn"
2447,12,1.12,2.1,0,"No Holiday",28,0,18.8,"Spring"
962,9,0.14,0.2,0,"No Holiday",80,0,0.8,"Winter"
1936,5,0,1.9,0,"No Holiday",52,0,30.3,"Summer"
1580,1,0,0.8,0,"No Holiday",74,0,9.9,"Autumn"
1734,6,0,0.2,0,"No Holiday",18,0,4.4,"Winter"
1872,7,0.32,0.8,0,"No Holiday",84,0,19.5,"Summer"
1929,4,0,3.7,0,"No Holiday",48,0,26.6,"Summer"
1461,11,2.33,3,0,"No Holiday",80,0,22.9,"Summer"
1413,0,0,0.7,0,"No Holiday",76,0,23.8,"Summer"
2043,13,1.5,3.4,0,"No Holiday",45,0,-8.7,"Winter"
1440,20,0,3.2,0,"Holiday",49,0,-4.4,"Winter"
1607,2,0,1.2,0,"No Holiday",57,0,24.4,"Summer"
1561,0,0,3.5,0,"No Holiday",76,0,11.7,"Autumn"
1361,9,0.66,1.6,0,"Holiday",76,0,26.8,"Summer"
1426,16,2.12,0,0,"No Holiday",36,0,-3.9,"Winter"
1925,17,0.06,1,0,"No Holiday",34,0,6,"Winter"
1299,4,0,2.2,0,"No Holiday",98,2.5,21.2,"Summer"
2028,16,0.55,1.7,0,"No Holiday",20,0,20.9,"Spring"
1331,8,0.75,0.1,0,"No Holiday",85,0,25,"Summer"
1599,10,1.99,3,0,"No Holiday",91,0,10.2,"Spring"
1181,9,0.03,2.7,0,"No Holiday",52,0,6,"Winter"
1909,16,1.91,1.2,0,"No Holiday",97,7,26.4,"Summer"
1622,1,0,2.6,0,"No Holiday",35,0,-0.9,"Autumn"
1940,17,0.39,2.3,0,"No Holiday",55,0,5.4,"Autumn"
1500,6,0,3,0,"No Holiday",41,0,2.2,"Winter"
1467,7,0.32,1.5,0,"No Holiday",61,0,24.9,"Summer"
1624,5,0,3.6,0,"No Holiday",83,0,17.9,"Spring"
1994,2,0,1.3,0,"No Holiday",53,0,14.2,"Autumn"
1532,15,0.41,1.4,0,"No Holiday",80,0,22,"Summer"
1563,11,2.08,1.8,0,"No Holiday",98,1.5,19.2,"Summer"
1329,16,2.54,1,0,"No Holiday",94,3.5,22.8,"Summer"
1605,8,0.43,3.6,0,"No Holiday",98,5.5,16.5,"Autumn"
2000,14,2.06,0.9,0,"No Holiday",70,0,27.6,"Summer"
2510,16,1.77,2.1,0,"No Holiday",27,0,10,"Spring"
2104,8,0.23,2.2,0,"No Holiday",45,0,20.7,"Autumn"
1636,18,0.85,1.5,0,"No Holiday",62,0,8.4,"Winter"
1825,0,0,1.7,0,"No Holiday",40,0,12.8,"Spring"
1336,10,1.42,2.5,0,"No Holiday",47,0,-5.5,"Winter"
1975,23,0,1.9,0,"No Holiday",66,0,27.4,"Summer"
2020,19,0.27,1.9,0,"No Holiday",42,0,0.9,"Spring"
2108,21,0,0.9,0,"No Holiday",48,0,36.2,"Summer"
2244,22,0,3.1,0,"No Holiday",81,0,25.9,"Summer"
1998,1,0,2.4,0,"No Holiday",59,0,36,"Summer"
1885,3,0,1,0,"No Holiday",28,0,19.6,"Spring"
1516,1,0,0.1,0,"No Holiday",64,0,13.6,"Autumn"
2353,5,0,0.7,0,"No Holiday",22,0,21.6,"Spring"
2149,2,0,0.4,0,"No Holiday",73,0,28.2,"Summer"
1729,20,0,0.5,0,"No Holiday",47,0,0.5,"Winter"
2418,10,0.14,1.4,0,"No Holiday",58,0,27.2,"Summer"
1340,14,3.12,2.1,0,"No Holiday",37,0,-12.4,"Winter"
1561,19,0.06,0.3,0,"No Holiday",66,0,-2.9,"Winter"
994,8,0.11,1.7,4.8,"No Holiday",83,0,-2.6,"Winter"
2375,22,0,1.1,0,"No Holiday",44,0,10.7,"Autumn"
1424,9,0.17,1.1,0,"No Holiday",37,0,-1.7,"Winter"
2049,4,0,3.1,0,"No Holiday",67,0,27.1,"Summer"
2059,16,1.97,1.4,0,"No Holiday",79,0,6.8,"Autumn"
1582,14,0.56,2.3,0.3,"No Holiday",38,0,-12.4,"Winter"
1433,10,0.2,1,0,"No Holiday",89,1,17,"Autumn"
1950,16,0.94,2.6,0,"Holiday",18,0,6.4,"Winter"
1508,6,0,2,0,"No Holiday",75,0,12.6,"Autumn"
1674,8,0.68,1.1,0,"No Holiday",56,0,18.7,"Summer"
2065,7,0,1.5,0,"No Holiday",67,0,12.9,"Autumn"
2192,14,2.18,4,0,"No Holiday",18,0,5.4,"Winter"
2510,20,0,1.1,0,"No Holiday",32,0,7.1,"Autumn"
1125,12,1.67,2.8,0,"No Holiday",57,0,5.9,"Winter"
1392,3,0,1.4,0,"No Holiday",23,0,-5.1,"Winter"
2062,19,0.08,1.8,0,"No Holiday",58,0,6.4,"Autumn"
1829,13,1,0.9,0,"No Holiday",33,0,8.2,"Spring"
1800,15,1.96,1.9,0,"No Holiday",83,0,16.3,"Spring"
1697,3,0,1.4,0,"Holiday",65,0,23.4,"Autumn"
1373,7,0.42,2.6,0,"No Holiday",81,0,1.9,"Winter"
1864,5,0,0.8,0,"No Holiday",30,0,27.8,"Summer"
1004,4,0,1.1,0,"No Holiday",53,0,-5.6,"Winter"
1397,0,0,1.1,0,"No Holiday",33,0,-0.5,"Winter"
2270,15,2.24,2.6,0,"No Holiday",40,0,19.6,"Autumn"
1566,17,0.79,1.5,0,"No Holiday",63,0,22.7,"Summer"
1020,12,2.8,1.1,2.4,"No Holiday",83,0.1,-3.5,"Winter"
1934,5,0,1.6,0,"No Holiday",78,0,13.5,"Autumn"
1499,9,0.14,0.6,0,"No Holiday",81,0,16.8,"Spring"
1130,6,0.04,2.6,0,"No Holiday",61,0,6.5,"Winter"
1975,6,0,1.8,0,"No Holiday",38,0,12.7,"Spring"
1379,8,0.11,0.4,0,"No Holiday",60,0,7.5,"Autumn"
1597,21,0,5,0,"No Holiday",48,0,-10.2,"Winter"
1246,9,0.43,0.9,0,"No Holiday",84,0,-0.6,"Spring"
1399,12,3.24,1.2,0.3,"Holiday",38,0,-14.6,"Winter"
1067,6,0,0,0,"No Holiday",42,0,-4.6,"Winter"
2337,19,0,1.6,0,"No Holiday",83,0.3,23,"Summer"
2331,17,0.23,2.9,0,"No Holiday",83,0,24.8,"Summer"
1296,4,0,1,0,"No Holiday",59,0,2.6,"Spring"
1761,17,0.1,1.7,0,"No Holiday",58,0,-4.9,"Winter"
1520,8,0.01,1,0,"No Holiday",88,0.2,7.1,"Spring"
1719,3,0,3.2,0,"No Holiday",45,0,27.2,"Summer"
1273,8,0.06,1.6,0,"No Holiday",63,0,-3,"Winter"
655,3,0,1.2,0,"No Holiday",83,0,-1,"Winter"
1630,3,0,3.5,0,"Holiday",51,0,19.5,"Summer"
2636,12,2.98,0.1,0,"No Holiday",69,0,28.5,"Summer"
2119,17,1.32,1,0,"No Holiday",54,0,31.6,"Summer"
2165,11,1.42,0.6,0,"No Holiday",73,0,13.1,"Autumn"
1547,17,0.54,2.1,0,"No Holiday",73,0,10.4,"Autumn"
2115,21,0,0.9,0,"No Holiday",64,0,12.1,"Spring"
1618,18,1.05,1.7,0,"No Holiday",64,0,10.4,"Spring"
2416,17,0.16,2.1,0,"Holiday",73,0,25.5,"Summer"
1343,8,0.19,2.7,0,"No Holiday",50,0,-8.5,"Winter"
2581,23,0,3.7,0,"No Holiday",39,0,11.2,"Autumn"
2211,7,0.22,0.7,0,"No Holiday",56,0,31.5,"Summer"
1948,19,0,1.6,0,"No Holiday",45,0,10.4,"Spring"
1838,22,0,4.2,0,"No Holiday",26,0,-4.8,"Winter"
1415,23,0,0.7,0,"No Holiday",47,0,-8.6,"Winter"
2927,21,0,1.1,0,"No Holiday",30,0,32.3,"Summer"
845,2,0,2.2,0,"No Holiday",87,0,3.4,"Autumn"
2771,21,0,0.6,0,"No Holiday",66,0,28.7,"Summer"
1682,18,0.15,0.5,0,"No Holiday",36,0,-1.6,"Winter"
2565,19,0,2.6,0,"No Holiday",63,0.1,22.8,"Summer"
2463,13,0.57,1.8,0,"No Holiday",40,0,36,"Summer"
1875,22,0,3.8,0,"No Holiday",36,0,1.3,"Winter"
1843,11,2.12,1.1,0,"No Holiday",77,0,11.2,"Autumn"
2101,8,1.15,3.4,0,"No Holiday",55,0,23.3,"Summer"
1999,14,1.21,0.9,0,"No Holiday",71,0,30.5,"Summer"
1796,20,0.06,1.5,0,"No Holiday",73,0,5.6,"Autumn"
1861,15,2.88,1,0,"No Holiday",71,0,18.9,"Summer"
1700,14,2.57,0.8,0,"No Holiday",33,0,-7.9,"Winter"
2669,13,3.09,2.7,0,"No Holiday",63,0,19.7,"Autumn"
1979,12,1.53,1,0,"No Holiday",31,0,25,"Summer"
1663,19,0,1,0,"No Holiday",84,0,16.7,"Summer"
2478,19,0,1.8,0,"No Holiday",67,0,21,"Summer"
835,8,0.15,0.7,0,"No Holiday",87,0,3.2,"Spring"
1720,13,2.95,1.2,0,"No Holiday",87,0,10.2,"Spring"
1625,12,0.42,1.8,0,"No Holiday",80,0,19.6,"Autumn"
1672,13,2.14,0.8,0,"No Holiday",81,0,23.9,"Summer"
1981,1,0,1.5,0,"No Holiday",46,0,35.8,"Summer"
1827,12,1.61,0.7,0,"No Holiday",21,0,1.4,"Winter"
969,6,0,1.3,0,"No Holiday",78,0,-4.3,"Winter"
2517,15,2.88,1.6,0,"No Holiday",56,0,22,"Autumn"
2103,4,0,4.7,0,"No Holiday",45,0,10.8,"Autumn"
2282,10,2.1,3.3,0,"No Holiday",15,0,17.7,"Spring"
2259,17,0.47,2.5,0,"No Holiday",58,0,17.8,"Summer"
1556,6,0,0.8,0,"No Holiday",53,0,21.8,"Summer"
1854,4,0,1.5,0,"No Holiday",48,0,26.3,"Summer"
1332,17,1.6,3.1,0,"No Holiday",52,0,-5.8,"Winter"
1354,3,0,1.3,0,"No Holiday",70,0,9,"Spring"
2753,20,0,2.6,0,"No Holiday",40,0,35.3,"Summer"
2524,20,0,1.5,0,"No Holiday",52,0,14.2,"Spring"
1443,8,0.11,1.6,0,"No Holiday",85,0,7.7,"Autumn"
2028,10,2.25,1.8,0,"No Holiday",56,0,18.3,"Autumn"
1534,0,0,1.3,0,"No Holiday",61,0,24.2,"Summer"
2072,13,3.18,1.5,0,"No Holiday",42,0,25.6,"Summer"
2662,22,0,1.8,0,"No Holiday",33,0,26.7,"Summer"
2171,5,0,1,0,"No Holiday",35,0,25.5,"Autumn"
1769,11,2.65,1.7,0,"No Holiday",26,0,29.7,"Summer"
1924,10,0.25,0.8,0,"No Holiday",55,0,14.1,"Spring"
2032,1,0,2,0,"No Holiday",15,0,18.8,"Spring"
2391,19,0,0.7,0,"No Holiday",57,0,30.5,"Summer"
1515,10,0.55,1.4,1,"No Holiday",64,0,7.1,"Winter"
1092,18,0,1.2,0,"No Holiday",73,0,0.8,"Winter"
1790,19,0,1.2,0,"No Holiday",39,0,1.4,"Winter"
1471,16,2.44,2.3,0,"No Holiday",96,0,7.3,"Spring"
2178,21,0,0.9,0,"No Holiday",41,0,8.8,"Spring"
2148,7,0.47,2,0,"No Holiday",51,0,24.3,"Summer"
1899,7,0,1.2,0,"No Holiday",47,0,15.5,"Spring"
1019,1,0,2.3,0,"No Holiday",43,0,-8.2,"Winter"
2119,20,0.04,0.8,0,"No Holiday",59,0,29.9,"Summer"
2012,8,0.01,1.2,0,"No Holiday",82,0,28.7,"Summer"
1854,18,0.58,0.6,0,"No Holiday",86,0,19.6,"Autumn"
880,17,0.84,0.2,2,"No Holiday",65,0,-6.9,"Winter"
1523,5,0,0.2,0,"No Holiday",72,0,26.5,"Summer"
1584,4,0,3.6,0,"No Holiday",78,0,20,"Autumn"
1931,7,0.04,0.5,0,"No Holiday",44,0,13,"Autumn"
1261,3,0,0.4,0,"No Holiday",86,0,27.4,"Summer"
1589,1,0,0.7,0,"No Holiday",70,0,20.1,"Summer"
1542,10,1.88,0.8,0,"No Holiday",63,0,4.3,"Spring"
1922,19,0,1.4,0,"No Holiday",69,0,28.2,"Summer"
2172,14,1.07,1.2,0,"No Holiday",40,0,16.9,"Spring"
1993,23,0,0.8,0,"Holiday",78,0,19.3,"Summer"
2059,10,2.02,1.3,0,"No Holiday",42,0,27.2,"Spring"
1663,20,0,0.6,0.6,"No Holiday",35,0,-15,"Winter"
1933,16,0.4,0.3,0,"No Holiday",22,0,-5.6,"Winter"
1514,8,0,2.7,0,"No Holiday",79,0,19.6,"Autumn"
2517,22,0,0.8,0,"No Holiday",69,0,15.3,"Autumn"
1366,12,0.82,1.8,0,"No Holiday",55,0,-2.5,"Winter"
1157,5,0,0.6,0,"No Holiday",48,0,-9.6,"Winter"
2250,15,1.72,0.1,0,"No Holiday",34,0,20.6,"Autumn"
2024,11,0.21,2.1,0,"No Holiday",43,0,28.1,"Summer"
1685,8,0.03,0.8,0,"Holiday",56,0,32.2,"Summer"
2239,4,0,1.8,0,"No Holiday",48,0,26.6,"Summer"
1655,3,0,0.3,0,"No Holiday",65,0,20.8,"Spring"
1488,15,3.04,3.5,0,"No Holiday",54,0,29.7,"Summer"
2285,5,0,1.1,0,"No Holiday",42,0,22.1,"Autumn"
1776,8,0.01,0.8,0,"No Holiday",62,0,22.9,"Summer"
1381,7,0,1.6,0,"No Holiday",75,0,12.6,"Autumn"
1316,1,0,1.3,0,"No Holiday",34,0,-3.4,"Winter"
1880,7,0.13,2.3,0,"No Holiday",61,0,12.2,"Autumn"
2519,22,0,2.5,0,"No Holiday",37,0,19.4,"Spring"
2402,21,0,1.7,0,"No Holiday",79,0,27.8,"Summer"
1514,15,0.57,1.1,0,"No Holiday",53,0,-5.8,"Winter"
1783,21,0,0.8,0,"No Holiday",83,0,24.4,"Summer"
2293,4,0,2.6,0,"No Holiday",29,0,17.2,"Spring"
592,1,0,1,0,"No Holiday",65,0,-6.7,"Winter"
2652,19,0,1.2,0,"No Holiday",42,0,24.7,"Autumn"
1741,14,0.19,1.3,0,"No Holiday",63,0,13.6,"Spring"
2005,10,0.53,2.6,0,"No Holiday",48,0,2,"Spring"
720,11,2.77,1.6,0.3,"No Holiday",36,0,-5.7,"Winter"
2420,20,0,1.4,0,"No Holiday",53,0,17.5,"Summer"
2199,14,0.35,2.5,0,"No Holiday",50,0,32.3,"Summer"
2170,17,0.02,1.6,0,"No Holiday",35,0,8.5,"Spring"
2494,18,0.1,2.8,0,"No Holiday",41,0,25.3,"Summer"
1776,12,0.63,2.6,0,"No Holiday",32,0,1.1,"Winter"
1911,18,0.52,1.3,0,"No Holiday",30,0,-2.8,"Winter"
1671,4,0,1.9,0,"No Holiday",98,0,12.2,"Autumn"
2275,6,0.08,2.8,0,"No Holiday",56,0,29.4,"Summer"
875,5,0,3.3,3.5,"No Holiday",82,0,-2.7,"Winter"
1861,15,1.82,1.6,0,"No Holiday",58,0,-4.6,"Winter"
2155,11,0.84,1.2,0,"No Holiday",44,0,26.4,"Autumn"
1514,11,0.88,1.6,0,"No Holiday",53,0,6.8,"Spring"
2122,17,0.45,0.7,0,"No Holiday",47,0,16.5,"Autumn"
2016,8,1.28,1.2,0,"No Holiday",73,0,21.2,"Summer"
1206,9,1.34,2.9,0,"No Holiday",90,1,27.6,"Summer"
2274,18,0.46,0.7,0,"No Holiday",48,0,8.4,"Spring"
1551,19,0,0.5,0,"No Holiday",39,0,-3.2,"Winter"
1244,10,1.81,1.5,0,"No Holiday",38,0,-10.9,"Winter"
1658,23,0,1.1,0,"No Holiday",87,0,11.8,"Spring"
1274,5,0,3.2,0,"No Holiday",85,0,5.6,"Spring"
1950,20,0,3.5,0,"No Holiday",69,0,15.1,"Spring"
1677,9,0.07,2.5,0,"No Holiday",64,0,8.2,"Autumn"
1866,4,0,1.2,0,"No Holiday",53,0,16.2,"Spring"
1838,5,0,2.9,0,"No Holiday",84,0,8.2,"Autumn"
2280,17,0.25,1.2,0,"No Holiday",42,0,11.1,"Autumn"
1477,2,0,1.7,0,"No Holiday",25,0,-0.4,"Winter"
1964,10,1.13,1.1,0,"No Holiday",76,0,18.6,"Autumn"
2810,12,0.87,2.8,0,"No Holiday",26,0,18.8,"Spring"
2281,8,0.17,1.1,0,"No Holiday",53,0,34,"Summer"
1268,20,0.06,3.2,2.6,"No Holiday",74,0,2.9,"Winter"
1850,9,0.17,0.2,0,"No Holiday",51,0,31.4,"Summer"
1824,16,0.52,1,0,"No Holiday",61,0,6.4,"Winter"
1963,12,1.82,1,0,"No Holiday",87,0,19.6,"Spring"
1334,9,2.02,0.5,0,"No Holiday",66,0,2.3,"Winter"
1553,13,2.12,2.1,0,"No Holiday",72,0,20.1,"Autumn"
1088,21,0,4.6,0,"No Holiday",97,0,13.8,"Spring"
1491,17,0.08,1.2,0,"No Holiday",75,0,4.5,"Winter"
2748,14,2.29,1.1,0,"No Holiday",39,0,37.5,"Summer"
1878,20,0,1.1,0,"No Holiday",54,0,2.9,"Spring"
1353,3,0,2.7,0,"No Holiday",34,0,4.6,"Winter"
1794,11,0.03,0.9,0,"No Holiday",34,0,7.4,"Winter"
1602,4,0,1,0,"No Holiday",73,0,23.5,"Summer"
2038,22,0,3,0,"No Holiday",69,0,4.3,"Winter"
1528,9,0.1,4.5,0,"No Holiday",38,0,-1.9,"Winter"
1417,14,2.91,0.4,0,"No Holiday",98,0.5,22.6,"Summer"
2095,13,2.05,1.2,0,"No Holiday",71,0,6.3,"Autumn"
1463,1,0,4.4,0,"No Holiday",78,0,8.6,"Autumn"
1431,19,0,2.9,0,"No Holiday",98,0.5,22.7,"Summer"
2132,19,0.33,2,0,"No Holiday",40,0,1.9,"Autumn"
1319,17,1.89,2,0,"No Holiday",50,0,-4.8,"Winter"
919,14,0.8,1,0,"No Holiday",58,0,-13.4,"Winter"
1595,5,0,1.3,0,"No Holiday",46,0,2.6,"Spring"
1842,1,0,1.1,0,"No Holiday",29,0,7.3,"Spring"
1576,18,0.04,1.3,0,"Holiday",45,0,-12.3,"Winter"
1258,5,0,2.7,0,"Holiday",30,0,-7.7,"Winter"
696,4,0,1.7,0,"No Holiday",96,0,4.7,"Winter"
1804,1,0,3.7,0,"No Holiday",53,0,21.2,"Autumn"
1214,12,0.97,1.2,0,"No Holiday",73,0,4.9,"Spring"
2580,21,0,2.5,0,"No Holiday",55,0,26.7,"Autumn"
2074,16,0.12,2.2,0,"No Holiday",45,0,20.7,"Spring"
1238,11,2.3,1.3,0,"No Holiday",53,0,4.2,"Winter"
1838,12,2.45,1.2,0,"No Holiday",25,0,-5.2,"Winter"
1398,12,0.64,0.8,0.5,"No Holiday",32,0,-14.1,"Winter"
1886,13,1.11,0.7,0,"No Holiday",75,0,11.4,"Spring"
1786,15,1.39,2.3,0,"No Holiday",67,0,15.3,"Spring"
1705,12,0.5,1.3,0,"No Holiday",71,0,20.3,"Autumn"
1215,13,2.95,1,0,"No Holiday",82,0,6.2,"Winter"
1653,16,0.07,1.4,0,"No Holiday",38,0,-7.4,"Winter"
1788,5,0,0.5,0,"No Holiday",54,0,2.9,"Autumn"
2199,22,0,2.3,0,"No Holiday",75,0,23.6,"Summer"
1062,0,0,0,0,"No Holiday",49,0,-12.4,"Winter"
1421,11,0.54,1,0,"No Holiday",43,0,-4.1,"Winter"
1261,14,1.98,2,0,"No Holiday",60,0,-0.6,"Winter"
1507,4,0,2.2,0,"No Holiday",60,0,13.9,"Autumn"
1685,21,0,0.5,0,"No Holiday",44,0,-6.3,"Winter"
1210,18,0.72,0.9,0,"Holiday",91,4.5,13.7,"Autumn"
2178,7,0.06,0.2,0,"No Holiday",35,0,20.8,"Autumn"
1970,20,0.06,2.9,0,"No Holiday",22,0,0.5,"Winter"
1494,9,0.5,2.1,0,"No Holiday",95,2,12,"Spring"
2095,19,0,1.2,0,"No Holiday",61,0,9.9,"Spring"
2086,23,0,1,0,"No Holiday",54,0,18.6,"Summer"
1425,23,0,0.9,0,"No Holiday",98,0.5,21.7,"Spring"
1790,9,0.98,1.4,0,"No Holiday",76,0,10.1,"Autumn"
1557,5,0,2.2,0,"No Holiday",63,0,33.8,"Summer"
1570,2,0,2.4,0,"No Holiday",79,0,22.1,"Autumn"
1749,13,2.26,4.1,0,"No Holiday",39,0,0,"Winter"
1744,18,0.41,0.3,0,"No Holiday",84,0,24.3,"Summer"
980,1,0,1.4,0,"No Holiday",43,0,-9.6,"Winter"
1349,11,0.5,1.4,0,"No Holiday",67,0,7.5,"Spring"
1772,14,2.3,1.5,0,"No Holiday",61,0,22.9,"Summer"
1704,20,0,2.1,0,"Holiday",81,0,5.3,"Spring"
1468,7,0,2.1,0,"No Holiday",34,0,-1.5,"Winter"
1779,8,0,2.3,0,"No Holiday",68,0,8.4,"Autumn"
1848,8,1.21,0.8,0,"No Holiday",63,0,11.2,"Spring"
2259,12,2.96,2.7,0,"No Holiday",81,0,20.7,"Autumn"
1429,6,0.05,0.2,0,"No Holiday",33,0,-6.6,"Winter"
1997,19,0.34,2.7,0,"No Holiday",72,0,21,"Autumn"
